[2025-04-26 15:42:49] [info] Elevator Simulation started.
[2025-04-26 15:42:49] [info] Beginning to Parse CSV file.
[2025-04-26 15:43:30] [info] New Passenger waiting on floor 54
[2025-04-26 15:43:32] [info] New Passenger waiting on floor 30
[2025-04-26 15:44:17] [info] New Passenger waiting on floor 87
[2025-04-26 15:44:22] [info] New Passenger waiting on floor 35
[2025-04-26 15:44:50] [info] New Passenger waiting on floor 35
[2025-04-26 15:45:37] [info] New Passenger waiting on floor 63
[2025-04-26 15:46:14] [info] New Passenger waiting on floor 20
[2025-04-26 15:46:20] [info] New Passenger waiting on floor 23
[2025-04-26 15:47:17] [info] New Passenger waiting on floor 48
[2025-04-26 15:48:14] [info] New Passenger waiting on floor 70
[2025-04-26 15:49:09] [info] New Passenger waiting on floor 57
[2025-04-26 15:50:03] [info] New Passenger waiting on floor 40
[2025-04-26 15:50:16] [info] New Passenger waiting on floor 7
[2025-04-26 15:50:23] [info] New Passenger waiting on floor 35
[2025-04-26 15:51:04] [info] New Passenger waiting on floor 55
[2025-04-26 15:51:59] [info] New Passenger waiting on floor 27
[2025-04-26 15:52:06] [info] New Passenger waiting on floor 19
[2025-04-26 15:52:39] [info] New Passenger waiting on floor 87
[2025-04-26 15:53:06] [info] New Passenger waiting on floor 96
[2025-04-26 15:53:35] [info] New Passenger waiting on floor 95
[2025-04-26 15:53:39] [info] New Passenger waiting on floor 40
[2025-04-26 15:54:37] [info] New Passenger waiting on floor 32
[2025-04-26 15:54:59] [info] New Passenger waiting on floor 11
[2025-04-26 15:55:19] [info] New Passenger waiting on floor 63
[2025-04-26 15:56:14] [info] New Passenger waiting on floor 62
[2025-04-26 15:56:23] [info] New Passenger waiting on floor 3
[2025-04-26 15:56:46] [info] New Passenger waiting on floor 16
[2025-04-26 15:56:59] [info] New Passenger waiting on floor 85
[2025-04-26 15:57:10] [info] New Passenger waiting on floor 95
[2025-04-26 15:57:35] [info] New Passenger waiting on floor 92
[2025-04-26 15:58:34] [info] New Passenger waiting on floor 42
[2025-04-26 15:59:20] [info] New Passenger waiting on floor 13
[2025-04-26 15:59:42] [info] New Passenger waiting on floor 51
[2025-04-26 15:59:57] [info] New Passenger waiting on floor 92
[2025-04-26 16:00:19] [info] New Passenger waiting on floor 25
[2025-04-26 16:00:23] [info] New Passenger waiting on floor 18
[2025-04-26 16:00:56] [info] New Passenger waiting on floor 17
[2025-04-26 16:01:23] [info] New Passenger waiting on floor 3
[2025-04-26 16:01:34] [info] New Passenger waiting on floor 10
[2025-04-26 16:02:10] [info] New Passenger waiting on floor 46
[2025-04-26 16:02:50] [info] New Passenger waiting on floor 71
[2025-04-26 16:03:25] [info] New Passenger waiting on floor 98
[2025-04-26 16:04:16] [info] New Passenger waiting on floor 13
[2025-04-26 16:05:14] [info] New Passenger waiting on floor 35
[2025-04-26 16:06:10] [info] New Passenger waiting on floor 64
[2025-04-26 16:06:47] [info] New Passenger waiting on floor 65
[2025-04-26 16:07:16] [info] New Passenger waiting on floor 11
[2025-04-26 16:07:18] [info] New Passenger waiting on floor 36
[2025-04-26 16:07:42] [info] New Passenger waiting on floor 5
[2025-04-26 16:07:45] [info] New Passenger waiting on floor 96
[2025-04-26 16:07:57] [info] New Passenger waiting on floor 78
[2025-04-26 16:08:17] [info] New Passenger waiting on floor 32
