[2025-04-25 20:39:50] [info] New Passenger waiting on floor 29
[2025-04-25 20:39:51] [info] New Passenger waiting on floor 82
[2025-04-25 20:40:37] [info] New Passenger waiting on floor 87
[2025-04-25 20:40:48] [info] New Passenger waiting on floor 74
[2025-04-25 20:41:24] [info] New Passenger waiting on floor 42
[2025-04-25 20:42:10] [info] New Passenger waiting on floor 19
[2025-04-25 20:42:48] [info] New Passenger waiting on floor 63
[2025-04-25 20:43:14] [info] New Passenger waiting on floor 91
[2025-04-25 20:43:30] [info] New Passenger waiting on floor 20
[2025-04-25 20:44:25] [info] New Passenger waiting on floor 53
[2025-04-25 20:44:41] [info] New Passenger waiting on floor 12
[2025-04-25 20:44:58] [info] New Passenger waiting on floor 93
[2025-04-25 20:45:35] [info] New Passenger waiting on floor 45
[2025-04-25 20:45:57] [info] New Passenger waiting on floor 33
[2025-04-25 20:46:56] [info] New Passenger waiting on floor 12
[2025-04-25 20:47:54] [info] New Passenger waiting on floor 56
[2025-04-25 20:48:03] [info] New Passenger waiting on floor 72
[2025-04-25 20:48:48] [info] New Passenger waiting on floor 44
[2025-04-25 20:48:54] [info] New Passenger waiting on floor 8
[2025-04-25 20:49:29] [info] New Passenger waiting on floor 63
[2025-04-25 20:50:11] [info] New Passenger waiting on floor 37
[2025-04-25 20:50:30] [info] New Passenger waiting on floor 88
[2025-04-25 20:50:40] [info] New Passenger waiting on floor 90
[2025-04-25 20:50:44] [info] New Passenger waiting on floor 17
[2025-04-25 20:50:47] [info] New Passenger waiting on floor 17
[2025-04-25 20:50:56] [info] New Passenger waiting on floor 89
[2025-04-25 20:51:39] [info] New Passenger waiting on floor 98
[2025-04-25 20:52:38] [info] New Passenger waiting on floor 25
[2025-04-25 20:53:09] [info] New Passenger waiting on floor 5
[2025-04-25 20:53:31] [info] New Passenger waiting on floor 9
[2025-04-25 20:53:56] [info] New Passenger waiting on floor 57
[2025-04-25 20:54:56] [info] New Passenger waiting on floor 78
[2025-04-25 20:55:27] [info] New Passenger waiting on floor 75
[2025-04-25 20:56:08] [info] New Passenger waiting on floor 91
[2025-04-25 20:56:47] [info] New Passenger waiting on floor 53
[2025-04-25 20:57:00] [info] New Passenger waiting on floor 44
[2025-04-25 20:57:59] [info] New Passenger waiting on floor 37
[2025-04-25 20:58:40] [info] New Passenger waiting on floor 36
[2025-04-25 20:58:56] [info] New Passenger waiting on floor 7
[2025-04-25 20:59:47] [info] New Passenger waiting on floor 89
[2025-04-25 21:00:30] [info] New Passenger waiting on floor 75
[2025-04-25 21:00:34] [info] New Passenger waiting on floor 64
[2025-04-25 21:01:14] [info] New Passenger waiting on floor 18
[2025-04-25 21:01:25] [info] New Passenger waiting on floor 74
[2025-04-25 21:01:49] [info] New Passenger waiting on floor 90
[2025-04-25 21:01:57] [info] New Passenger waiting on floor 24
[2025-04-25 21:02:54] [info] New Passenger waiting on floor 34
[2025-04-25 21:03:39] [info] New Passenger waiting on floor 41
[2025-04-25 21:04:09] [info] New Passenger waiting on floor 7
[2025-04-25 21:04:49] [info] New Passenger waiting on floor 20
[2025-04-25 21:05:26] [info] New Passenger waiting on floor 86
[2025-04-25 21:05:41] [info] New Passenger waiting on floor 59
[2025-04-25 21:06:15] [info] New Passenger waiting on floor 28
[2025-04-25 21:06:22] [info] New Passenger waiting on floor 62
[2025-04-25 21:06:38] [info] New Passenger waiting on floor 84
[2025-04-25 21:06:52] [info] New Passenger waiting on floor 71
[2025-04-25 21:07:33] [info] New Passenger waiting on floor 66
[2025-04-25 21:07:35] [info] New Passenger waiting on floor 9
[2025-04-25 21:08:26] [info] New Passenger waiting on floor 81
[2025-04-25 21:08:28] [info] New Passenger waiting on floor 57
[2025-04-25 21:09:01] [info] New Passenger waiting on floor 77
[2025-04-25 21:09:46] [info] New Passenger waiting on floor 49
[2025-04-25 21:10:32] [info] New Passenger waiting on floor 27
[2025-04-25 21:11:11] [info] New Passenger waiting on floor 27
[2025-04-25 21:11:51] [info] New Passenger waiting on floor 88
[2025-04-25 21:11:56] [info] New Passenger waiting on floor 11
[2025-04-25 21:12:35] [info] New Passenger waiting on floor 44
[2025-04-25 21:13:18] [info] New Passenger waiting on floor 89
[2025-04-25 21:13:41] [info] New Passenger waiting on floor 45
[2025-04-25 21:14:07] [info] New Passenger waiting on floor 28
[2025-04-25 21:14:41] [info] New Passenger waiting on floor 41
[2025-04-25 21:14:51] [info] New Passenger waiting on floor 78
[2025-04-25 21:14:57] [info] New Passenger waiting on floor 72
[2025-04-25 21:14:58] [info] New Passenger waiting on floor 82
[2025-04-25 21:15:17] [info] New Passenger waiting on floor 44
[2025-04-25 21:16:01] [info] New Passenger waiting on floor 12
[2025-04-25 21:16:33] [info] New Passenger waiting on floor 33
[2025-04-25 21:17:17] [info] New Passenger waiting on floor 88
[2025-04-25 21:17:55] [info] New Passenger waiting on floor 93
[2025-04-25 21:18:49] [info] New Passenger waiting on floor 57
